# lumi Mchi Mphi nEvent
2698 1 100 248
2721 20 100 259
2497 1 50 263
2520 20 100 278
2521 1 50 269
2561 1 100 272
2567 1 100 261
2635 1 50 261
2525 1 50 275
2544 1 250 232
2545 1 250 235
2553 20 100 267
2554 51 100 260
2575 1 100 249
2576 1 500 232
2548 40 100 262
9025 1 500 222
9061 1 100 255
9076 51 100 252
9080 1 500 233
9081 1 450 221
2578 1 50 297
2583 1 100 270
2682 20 100 292
2836 55 100 262
2837 40 100 274
2851 1 50 272
2590 1 300 222
2597 20 100 262
2840 20 100 269
9049 1 150 279
9053 1 50 271
9057 1 250 243
2627 1 200 242
2633 1 50 254
2634 1 200 249
2714 1 500 219
2753 20 100 251
2754 30 100 256
2674 55 100 272
2675 45 100 268
2742 1 250 231
2743 1 100 283
2792 1 250 229
2799 1 100 234
2680 1 400 225
2681 1 350 237
2842 40 100 262
2850 30 100 260
2858 1 150 243
2861 55 100 241
2723 30 100 265
2736 51 100 257
2737 1 400 215
2793 49 100 263
2803 1 100 267
2812 1 250 230
2738 1 100 254
2740 1 450 219
2745 1 150 247
2749 1 50 257
2750 1 100 268
2756 1 50 280
2758 1 50 252
2785 1 500 227
2818 1 50 267
2846 1 150 252
2847 1 150 273
2848 30 100 268
2802 51 100 235
2833 1 300 216
2843 45 100 259
2845 1 50 274
2860 45 100 262
2863 1 500 216
2805 1 50 270
9051 1 350 229
9056 45 100 285
9089 30 100 281
9099 1 50 263
2810 1 100 253
2811 20 100 251
2841 55 100 246
2924 1 300 241
2976 49 100 266
2852 45 100 286
2853 1 50 281
2869 45 100 279
2886 45 100 272
2983 1 250 248
2857 45 100 250
2864 1 50 265
2879 1 100 268
2916 55 100 250
2923 1 100 270
2875 1 500 238
2877 1 100 240
2891 1 500 225
2981 1 350 240
2939 1 50 269
2946 40 100 255
2952 20 100 256
14904 1 100 270
9041 1 50 249
9052 1 200 233
9084 1 150 260
9095 1 450 237
9098 1 250 225
9105 1 250 226
9115 30 100 254
9046 1 100 280
9101 1 300 217
9100 20 100 256
9102 1 150 258
9113 20 100 277
9117 1 400 206
9132 1 400 226
9116 55 100 253
9119 20 100 259
9122 1 250 235
9129 1 200 255
15037 1 150 263
15083 55 100 255
15127 1 400 241
14495 55 100 269
14531 49 100 269
15163 1 200 249
15275 1 400 209
15483 1 300 234
14671 51 100 262
14759 1 250 221
14776 20 100 262
14880 1 150 252
14726 1 250 220
14727 1 100 270
14890 1 250 250
14975 1 50 263
14990 1 250 248
14980 1 50 259
14991 1 250 247
15005 1 200 240
15057 1 250 231
15058 1 350 233
15066 1 300 207
15074 1 500 207
15082 1 300 218
15106 1 450 217
15019 1 100 262
15027 51 100 266
15059 30 100 245
15067 1 250 239
15068 1 50 279
15076 1 100 271
15055 1 100 262
15063 1 400 221
15065 1 450 214
15077 1 200 240
15104 20 100 247
15129 1 200 272
15081 1 300 254
15091 49 100 251
15097 1 100 244
15101 30 100 261
15117 49 100 281
15412 51 100 273
15463 51 100 273
15728 1 50 284
26725 1 250 235
26733 1 100 277
26887 45 100 249
26903 40 100 278
26976 1 100 273
26741 1 50 254
26879 1 250 212
