# lumi Mchi Mphi nEvent
51324 1 50 98
51877 55 100 98
51901 1 50 95
52296 1 450 61
53072 1 300 89
54000 20 100 95
58489 1 100 97
59720 1 500 78
58770 1 200 79
60424 1 200 80
61084 1 500 74
80405 40 100 92
85516 1 500 57
79361 55 100 91
87555 1 100 100
101895 1 50 84
95985 1 50 102
96085 45 100 92
96116 1 250 99
96117 1 250 88
96250 45 100 91
87245 51 100 97
87246 1 100 97
87254 1 100 80
87262 1 450 89
87268 1 300 84
87282 1 400 80
87306 55 100 87
87310 1 100 91
87311 49 100 84
87321 1 100 106
87335 20 100 88
87348 1 300 86
87351 30 100 97
87354 55 100 85
87355 45 100 93
87358 1 50 84
87366 1 100 95
87370 1 250 89
87383 1 100 111
87397 49 100 97
87407 1 100 94
87421 20 100 97
87422 1 50 98
87432 30 100 97
87435 1 50 94
87437 1 200 82
87445 30 100 91
87464 20 100 87
87518 55 100 90
87521 1 50 86
87532 1 100 92
87533 45 100 101
87534 1 200 86
87535 1 150 106
87544 1 50 93
87546 1 50 94
87550 1 100 102
87632 1 50 83
87644 1 100 88
87647 1 450 78
87658 1 400 73
87664 1 50 90
87670 1 350 87
87686 20 100 97
87694 55 100 95
87703 1 250 75
87724 1 100 77
87728 1 150 89
87737 45 100 90
87758 45 100 91
94666 20 100 95
94674 1 50 82
94683 1 100 90
94780 20 100 89
94790 1 200 97
94853 45 100 94
94857 1 200 94
94871 1 150 104
94907 1 400 81
94915 1 350 87
94922 1 350 82
94933 1 350 87
94936 40 100 105
94940 1 100 90
94941 51 100 93
94952 1 100 99
94970 1 200 90
94977 1 100 91
94980 1 100 99
94992 1 50 98
95002 1 100 98
95008 20 100 97
95025 1 50 92
95031 49 100 90
95036 1 100 94
95040 40 100 95
95047 1 100 87
95053 1 100 96
95055 1 150 97
95060 1 100 92
95077 45 100 86
95078 1 100 98
95108 40 100 98
95124 1 350 80
95125 55 100 97
95144 1 100 89
95161 45 100 85
95179 1 200 89
95215 1 250 79
100895 1 250 89
100924 45 100 85
100940 1 100 99
100941 40 100 86
100966 40 100 91
100973 1 450 73
100977 45 100 90
100987 45 100 82
101032 45 100 107
101034 55 100 95
101042 1 300 79
101046 49 100 104
101050 1 100 97
101059 45 100 96
101065 55 100 98
101067 1 150 90
101074 51 100 78
101079 49 100 95
101082 51 100 89
101086 1 200 94
101091 1 100 83
101097 1 50 92
101111 30 100 96
101115 1 50 87
100937 1 450 85
100958 1 250 79
100974 49 100 101
101030 1 100 89
101043 30 100 101
101048 1 400 74
101068 1 50 105
101080 45 100 81
101087 1 150 87
101089 1 100 101
101095 45 100 83
101116 1 450 73
101122 1 100 89
101378 1 50 87
101379 1 100 100
101386 51 100 109
101397 30 100 91
101400 49 100 100
101413 20 100 98
101430 1 50 102
101459 1 50 100
101469 30 100 82
101481 1 100 92
101487 1 300 78
101513 49 100 86
101515 1 400 79
101522 1 50 101
101551 1 100 98
101562 55 100 98
101564 1 150 107
101566 1 50 91
101573 1 150 97
101581 1 50 99
101584 1 450 76
101600 1 100 81
101380 1 400 80
101398 1 450 68
101393 1 100 80
101408 1 50 89
101391 1 100 111
101405 49 100 95
101407 1 100 91
100181 1 100 96
100194 45 100 97
100204 40 100 87
100217 1 150 101
100234 1 50 94
100245 1 400 89
100256 1 400 86
100257 1 100 109
100284 1 500 67
100309 1 450 65
100326 1 50 93
100330 1 400 79
100343 1 100 100
100348 1 400 74
100189 45 100 99
100196 1 350 81
100219 1 450 78
100221 1 450 77
100233 45 100 98
100266 55 100 84
100285 1 50 101
100301 1 100 87
100322 40 100 94
100332 40 100 93
100334 1 350 87
100340 40 100 101
100349 1 200 94
101851 1 100 94
101853 55 100 83
101855 20 100 102
101863 20 100 87
101875 1 50 92
101950 1 200 89
101973 20 100 88
100250 1 400 66
100265 1 450 87
100270 1 50 99
100274 45 100 91
100316 1 300 71
100318 1 450 70
100346 1 150 90
100762 30 100 87
100791 1 250 89
100818 1 350 75
100850 1 400 70
100921 1 300 95
18503 51 100 94
18678 1 100 89
26742 1 100 98
26826 51 100 94
37001 1 50 98
39009 1 50 95
28726 20 100 88
31002 1 250 86
32776 1 50 96
32993 1 150 95
35073 1 50 86
37059 1 400 63
63491 1 100 89
63498 1 100 95
63506 1 250 84
63507 55 100 100
100509 1 450 75
100520 1 100 105
100534 1 250 99
100535 40 100 92
100537 1 100 101
100561 1 100 77
100572 1 150 91
100584 1 200 99
100600 1 50 104
100602 1 450 69
101135 1 100 83
101744 1 50 91
63522 55 100 86
63523 1 500 80
63539 1 100 105
63547 1 150 84
63621 1 300 71
63639 1 350 79
63660 1 100 99
63689 30 100 104
73071 40 100 105
73654 1 350 87
99694 1 100 98
100252 1 100 95
75463 1 50 99
75462 1 50 87
86078 1 50 86
85677 1 500 85
85701 1 400 71
85706 1 400 82
86055 1 450 68
86069 1 150 90
86079 1 350 90
86130 1 500 74
86158 1 450 69
86160 1 50 90
86161 1 300 78
86191 49 100 100
86192 1 450 76
86194 55 100 88
86208 49 100 94
89105 1 50 94
89130 1 150 86
91140 45 100 93
94214 20 100 84
94230 1 50 86
94232 1 500 75
38 1 100 95
79 51 100 97
421 1 400 89
488 1 100 90
570 45 100 92
635 40 100 99
745 20 100 89
778 1 100 90
821 1 100 75
862 1 50 94
870 1 450 71
982 20 100 96
997 1 50 84
1032 55 100 88
1176 49 100 94
1265 40 100 92
1280 49 100 92
1348 1 500 67
1353 30 100 81
1382 30 100 105
1537 1 450 61
1576 1 400 72
1586 1 250 82
1602 1 500 79
1696 1 200 99
1754 1 300 71
1785 1 50 85
1834 1 50 100
1851 40 100 86
1853 1 250 87
1868 1 100 93
1884 55 100 87
1998 1 450 78
2006 1 200 88
2071 1 450 70
2199 1 50 100
2302 1 50 78
2401 40 100 95
2416 1 200 78
2430 1 100 98
2440 45 100 95
2446 45 100 106
2449 55 100 84
2478 51 100 85
2764 40 100 84
2774 1 450 74
2999 1 450 73
3030 30 100 89
3036 1 200 82
3044 1 500 78
3310 30 100 89
3427 1 300 80
3465 51 100 101
3474 1 100 83
3531 1 50 88
3677 1 50 96
3719 1 100 81
3800 51 100 88
3816 40 100 105
3856 49 100 82
3888 1 150 79
3920 1 500 79
3933 55 100 89
3970 49 100 88
4180 1 100 98
4234 1 100 73
4250 1 400 83
4259 1 350 80
4289 1 400 72
4405 1 50 78
4429 45 100 93
4455 55 100 81
4487 1 100 93
4524 1 450 76
4546 30 100 84
4673 1 500 86
4688 1 500 70
4737 1 50 97
4753 55 100 84
4761 1 100 98
4775 20 100 76
4813 1 50 85
4827 30 100 93
4834 1 50 84
4857 1 150 107
4866 1 50 88
4902 1 350 91
4917 1 400 77
4943 1 450 67
4959 1 100 108
4967 1 400 67
5007 1 50 103
5052 30 100 94
5064 1 100 93
5218 1 100 94
5303 1 400 78
5380 20 100 94
5384 51 100 95
5407 1 100 82
5413 45 100 87
5482 30 100 88
5505 1 150 89
4471 40 100 101
4591 1 150 96
5108 1 100 100
5360 1 50 91
5506 1 100 93
3577 1 100 83
4218 40 100 88
14308 1 150 93
14837 1 300 81
15868 1 100 113
17384 1 100 92
18323 30 100 81
18418 1 100 96
18909 45 100 91
19369 1 100 108
16786 55 100 87
16795 1 100 101
16828 1 100 90
17304 40 100 90
17347 1 300 78
17361 55 100 98
17395 45 100 88
17799 1 450 75
21076 1 100 104
21496 1 100 85
21936 1 350 84
21990 1 50 95
14712 1 100 93
15321 51 100 84
15322 1 50 93
15859 20 100 84
18329 1 100 82
18335 1 300 80
19371 1 400 74
19406 40 100 96
19418 1 250 80
17800 1 50 91
19844 1 400 76
36457 20 100 100
36528 1 500 89
36537 40 100 108
36601 1 300 85
36692 1 200 96
36931 49 100 99
36955 30 100 92
38121 1 50 109
38210 1 500 69
38218 1 100 94
38227 1 400 69
38250 1 300 77
38251 1 450 87
38258 45 100 81
38267 30 100 92
38334 1 250 90
38364 55 100 88
38396 1 100 88
38450 51 100 91
38460 1 250 98
38477 49 100 96
38494 1 300 93
38526 1 50 97
38824 1 200 87
38905 1 50 103
19546 1 50 95
19576 51 100 106
19788 1 300 91
20066 51 100 99
20078 55 100 83
20175 1 100 95
20560 55 100 91
20829 1 300 93
21203 1 100 104
21458 1 100 99
21715 1 400 92
21797 1 50 103
36222 20 100 81
38140 1 100 97
38381 1 50 90
38389 1 100 91
38398 1 150 97
38518 1 50 98
37103 49 100 91
37104 1 250 93
37105 30 100 94
37110 20 100 90
37223 40 100 90
37370 51 100 101
37483 1 500 80
37620 1 400 80
37993 1 50 100
40661 1 350 72
46654 20 100 87
40277 1 300 78
40312 1 450 78
40405 1 100 100
40430 51 100 94
40510 1 50 99
40564 1 100 105
40812 1 200 82
46312 1 100 88
46335 1 500 77
46595 1 350 79
37872 1 50 92
38094 1 350 84
39239 1 100 88
39391 1 50 88
39489 1 100 105
39493 1 400 82
39507 45 100 105
39539 45 100 97
39547 1 500 64
39641 1 350 89
39669 1 100 92
39784 1 400 80
39867 45 100 97
39989 1 350 79
40058 1 200 91
40296 1 100 90
40504 1 250 79
40518 40 100 75
40566 1 100 96
40652 1 100 92
40790 1 250 82
40843 1 500 75
40883 1 100 86
40946 1 100 86
46024 1 100 90
46030 51 100 99
46136 30 100 92
46314 1 100 87
46332 1 100 92
46452 40 100 88
46458 1 350 65
58106 1 100 96
58740 1 500 68
58866 1 100 83
59256 1 100 97
60028 1 450 69
60376 45 100 100
60449 1 150 92
60530 45 100 92
60789 1 450 78
60837 1 250 90
60864 1 400 82
60912 1 500 74
60925 1 100 81
60935 1 350 79
60940 1 100 103
60948 1 100 81
60975 1 100 99
61025 1 150 92
61047 1 150 95
61064 1 300 79
61112 30 100 93
61136 1 500 67
61307 1 50 87
61360 1 50 80
61510 1 100 96
61535 1 100 88
61865 1 350 83
61897 1 500 75
61970 1 200 84
63234 1 300 97
63351 49 100 89
63367 1 50 96
63412 1 100 89
63557 1 100 92
63622 20 100 96
63704 1 500 77
39805 55 100 104
46487 20 100 99
46842 1 100 103
50514 45 100 84
50797 1 100 87
50813 1 100 96
51803 1 50 87
52815 1 100 102
52850 1 50 96
57040 1 100 82
57041 1 50 89
57049 1 350 64
57560 45 100 84
57705 51 100 91
53115 1 350 82
56319 40 100 92
56701 1 50 84
56830 45 100 101
58452 51 100 96
58490 20 100 101
