# lumi Mchi Mphi nEvent
3684 30 100 280
3904 1 100 273
3944 1 50 279
4000 1 50 264
4677 1 50 267
6288 1 400 203
6487 20 100 270
6721 45 100 247
2801 49 100 277
3330 1 400 249
3611 40 100 256
3694 55 100 250
8995 1 50 266
10555 1 300 231
10805 1 200 239
10900 1 400 218
14144 1 100 253
14154 1 350 242
14381 45 100 263
2968 51 100 243
3406 1 50 276
3834 1 50 264
4610 1 50 275
6043 1 100 263
6457 1 150 252
6480 1 50 268
6559 45 100 276
6679 1 400 216
6698 49 100 254
6746 55 100 247
6828 45 100 273
6836 1 50 280
6909 1 100 256
9612 1 450 235
9629 1 350 227
9767 1 50 261
9842 1 100 250
9117 1 50 270
9251 1 100 285
9254 1 500 220
9267 30 100 264
9601 20 100 267
9746 1 250 245
9765 1 150 264
7456 1 350 217
9118 49 100 255
9132 1 50 300
9217 45 100 274
9244 45 100 276
13091 20 100 267
13191 1 250 206
9107 1 50 263
9115 1 300 222
9134 1 50 258
9245 1 100 239
9261 30 100 278
9625 20 100 243
9743 1 100 256
2083 1 450 217
2367 1 50 263
2391 1 100 272
2402 1 150 275
2447 1 50 264
2520 1 500 229
2544 1 50 261
2596 1 500 228
2623 1 50 260
2657 20 100 266
2694 1 100 231
5898 30 100 289
7614 1 100 267
11425 1 250 224
11594 1 100 249
11625 30 100 252
11681 1 50 253
2644 1 250 242
4612 40 100 268
4658 49 100 264
4660 30 100 267
7467 55 100 248
7646 1 50 249
11217 1 100 267
11251 20 100 278
11683 1 100 275
11764 45 100 255
11765 1 350 237
11781 1 300 223
11843 45 100 257
11906 1 350 250
11968 1 200 218
12000 51 100 242
13147 51 100 244
4130 51 100 234
4172 1 500 212
4551 1 400 213
4657 1 100 268
7265 1 100 290
7767 1 50 264
9642 40 100 269
9698 1 450 233
9704 40 100 250
9745 30 100 270
11060 1 250 234
11142 20 100 259
11166 55 100 255
11218 1 500 221
11256 1 200 230
11424 1 200 253
11433 1 50 272
11506 30 100 276
4506 51 100 233
9027 1 50 288
9705 1 200 250
9732 1 450 219
11133 1 100 233
11187 45 100 269
11440 40 100 274
11448 1 450 237
11569 55 100 255
13078 1 100 257
13125 1 50 273
13126 20 100 270
13173 1 100 259
13174 1 400 229
2205 1 400 246
3472 1 500 209
5902 1 50 269
5923 1 400 243
8877 1 200 234
12601 1 450 232
5761 1 400 219
5762 1 200 243
5916 1 100 255
5917 20 100 276
7976 1 100 253
7991 40 100 267
13076 30 100 264
13324 40 100 274
13878 49 100 254
3365 1 350 240
3727 1 50 271
6318 1 100 260
6584 1 50 275
10798 1 50 270
14218 1 100 259
34225 1 50 251
35120 1 200 239
10369 1 150 268
12444 1 200 237
13209 1 50 270
14102 1 250 239
34971 20 100 260
11124 1 50 274
13050 20 100 257
13886 49 100 243
13951 30 100 281
8203 1 50 265
8268 1 450 209
8715 30 100 264
11806 1 100 273
11850 51 100 258
11866 1 100 270
11887 1 250 244
11940 1 50 265
11960 45 100 255
12463 1 450 201
12847 1 100 274
12887 1 50 274
12892 51 100 247
8708 30 100 263
8726 51 100 253
8740 30 100 268
8750 1 200 240
8755 1 350 243
8756 1 150 252
8885 1 100 248
11923 1 100 249
11931 1 500 223
12021 1 100 267
12436 1 100 250
12493 45 100 259
12936 1 400 239
8706 1 500 218
8712 1 50 240
8741 1 400 221
11830 1 100 266
11867 45 100 239
11870 1 50 254
11890 1 250 224
12335 1 500 206
12839 20 100 247
12912 30 100 233
13454 1 100 265
8893 55 100 265
11814 1 450 195
11948 55 100 266
11952 1 150 266
11979 30 100 261
12822 20 100 253
12971 1 500 217
12984 1 200 232
12987 1 50 273
13134 1 450 242
13459 1 50 303
13645 1 500 230
13547 20 100 258
14096 1 350 231
14152 55 100 251
14161 1 100 258
14202 1 250 222
14226 1 400 208
14242 1 50 273
14258 1 350 228
14307 1 450 218
14768 49 100 251
14013 20 100 245
14050 30 100 254
14058 1 100 252
14120 1 400 218
14339 49 100 250
14480 1 100 260
14527 30 100 260
14533 1 350 225
14658 1 100 260
35065 1 250 220
35074 20 100 251
9603 1 100 244
13181 1 250 237
13436 1 100 254
4546 30 100 266
6592 40 100 272
6617 1 450 234
6626 40 100 266
2516 30 100 262
2993 1 200 227
3510 1 100 246
5706 1 200 251
6593 1 200 224
6608 40 100 259
6650 51 100 254
6076 1 100 266
14282 30 100 271
6600 1 50 264
6601 40 100 275
6624 1 200 245
9633 1 200 247
9667 55 100 240
9631 49 100 275
11257 49 100 258
8147 1 450 204
8675 1 400 215
8692 1 100 276
8694 1 250 249
11708 1 150 252
8677 45 100 250
8702 30 100 256
11773 1 350 231
12246 1 450 237
12263 1 100 270
8689 1 250 240
11756 1 250 228
13273 1 50 274
13280 1 50 259
12741 1 50 274
14290 1 200 242
14300 1 100 273
14423 1 200 251
13471 1 400 229
4170 1 500 204
4666 1 150 262
4282 1 350 240
4444 1 500 211
4674 51 100 253
4714 30 100 254
5361 1 50 297
5385 1 50 282
5459 1 100 253
5466 20 100 261
5606 1 400 218
5661 1 450 219
5693 20 100 253
5716 55 100 248
5725 1 350 217
7164 49 100 264
7709 1 250 241
7720 30 100 270
7806 30 100 265
7810 49 100 252
5392 1 100 249
5516 45 100 245
5547 1 250 229
11289 30 100 279
11296 51 100 270
11395 51 100 262
11486 49 100 267
11599 1 100 252
11648 49 100 278
13636 1 100 247
13742 49 100 286
13762 1 500 233
13786 1 250 219
13859 49 100 259
13920 45 100 263
13959 1 100 255
13968 1 100 257
5509 1 50 256
5635 1 500 227
5677 45 100 256
5736 30 100 246
5775 1 350 227
5895 1 50 240
7047 1 100 258
7105 1 150 262
7226 20 100 273
7252 20 100 268
7628 20 100 253
7740 1 300 222
11002 1 100 255
11361 1 200 237
11586 1 50 271
11620 1 50 258
13641 1 50 270
7269 1 150 237
7643 1 450 226
7659 40 100 278
7671 1 50 286
7697 45 100 274
13799 55 100 248
13801 1 50 274
13944 51 100 253
13949 1 400 212
8257 1 500 214
8771 1 500 216
11652 1 50 276
7055 1 50 276
7073 45 100 248
7097 1 350 239
7169 49 100 242
7171 1 450 210
7194 1 100 270
7211 51 100 263
7554 1 200 253
7555 1 400 220
7578 1 400 229
7594 1 50 257
7065 45 100 268
7096 45 100 269
7170 30 100 249
7177 1 50 249
7562 1 100 260
7701 1 50 251
7716 40 100 260
7733 45 100 266
7817 30 100 265
7825 1 300 239
7586 20 100 267
7704 20 100 262
7729 51 100 277
7667 1 350 223
9022 30 100 267
9654 51 100 244
9766 1 150 258
7712 51 100 235
8954 1 500 211
8994 1 450 208
9428 1 50 251
11207 1 200 251
11225 1 50 265
11230 1 150 253
11231 45 100 279
11241 45 100 255
11263 1 100 238
11301 1 400 222
11310 1 50 278
11349 1 50 271
11365 1 300 237
11373 1 50 269
11455 1 100 264
11468 1 50 250
11475 1 50 263
11504 1 100 257
11507 1 100 249
11508 20 100 257
11509 1 100 264
11511 1 50 277
11565 55 100 260
11588 1 500 229
11613 1 150 259
11621 49 100 260
11646 1 400 230
11694 1 50 257
11697 55 100 236
11719 1 50 263
11720 1 100 283
11727 45 100 258
11728 1 350 227
11744 1 50 278
11750 45 100 268
11762 45 100 239
11775 1 150 260
11783 30 100 279
11815 49 100 262
11816 45 100 267
11852 1 50 284
11954 49 100 256
11970 1 100 275
12097 1 100 247
12164 20 100 251
12267 51 100 243
12327 1 500 226
12434 1 300 230
12524 1 200 223
15282 1 450 237
15291 1 100 257
15440 1 500 216
15446 30 100 268
15467 1 100 241
15813 1 50 273
15816 1 100 233
15829 1 500 225
15926 30 100 261
15972 1 350 222
15991 1 500 219
15441 1 50 276
15473 40 100 292
15474 1 500 231
15632 1 300 244
15774 1 100 261
15776 1 50 273
15837 20 100 272
